dataset_name,xyz_lr_c,xyz_lr_final_c,radius_lr_c,radius_lr_final_c,weights_lr_c,weights_lr_final_c,mean_training_loss,mean_density_field_loss
starling,0.01,0.8,0.05,0.9,0.2,0.8,115065.248046875,0.8145252234274007
starling,0.01,0.8,0.05,0.9,0.2,0.9,116216.9921875,0.8106132101357599
starling,0.01,0.8,0.1,0.7,0.1,0.7,93976.466796875,0.7523362249726934
starling,0.01,0.8,0.1,0.7,0.1,0.8,93814.677734375,0.7530526088194605
starling,0.01,0.8,0.1,0.7,0.1,0.9,93294.4296875,0.7528691949337407
starling,0.01,0.8,0.1,0.7,0.14,0.7,95008.859375,0.7896540482246579
starling,0.01,0.8,0.1,0.7,0.14,0.8,95271.125,0.7927757336945547
starling,0.01,0.8,0.1,0.7,0.14,0.9,95414.384765625,0.7958848189945753
starling,0.01,0.8,0.1,0.7,0.2,0.7,105962.376953125,0.8294348851238208
starling,0.01,0.8,0.1,0.7,0.2,0.8,106305.080078125,0.833762937461014
starling,0.01,0.8,0.1,0.7,0.2,0.9,105625.11328125,0.8317071606153319
starling,0.01,0.8,0.1,0.8,0.1,0.7,93921.171875,0.7529376010978401
starling,0.01,0.8,0.1,0.8,0.1,0.8,93580.146484375,0.7520449541791765
starling,0.01,0.8,0.1,0.8,0.1,0.9,93305.275390625,0.7524290728377845
starling,0.01,0.8,0.1,0.8,0.14,0.7,95259.939453125,0.7858474541166958
starling,0.01,0.8,0.1,0.8,0.14,0.8,94999.91796875,0.7920065233631373
starling,0.01,0.8,0.1,0.8,0.14,0.9,95064.220703125,0.7951610579705454
starling,0.01,0.8,0.1,0.8,0.2,0.7,105292.26953125,0.8318244681959722
starling,0.01,0.8,0.1,0.8,0.2,0.8,105896.46484375,0.8398088007208243
starling,0.01,0.8,0.1,0.8,0.2,0.9,105439.9453125,0.8273686338811821
starling,0.01,0.8,0.1,0.9,0.1,0.7,93591.1484375,0.7501143316884862
starling,0.01,0.8,0.1,0.9,0.1,0.8,93706.724609375,0.7512126993453954
starling,0.01,0.8,0.1,0.9,0.1,0.9,93750.349609375,0.7511854782261544
starling,0.01,0.8,0.1,0.9,0.14,0.7,95059.611328125,0.7859607511333708
starling,0.01,0.8,0.1,0.9,0.14,0.8,95051.2109375,0.7912935604902684
starling,0.01,0.8,0.1,0.9,0.14,0.9,95798.84375,0.7956926234926358
starling,0.01,0.8,0.1,0.9,0.2,0.7,105928.990234375,0.832818429137116
starling,0.01,0.8,0.1,0.9,0.2,0.8,106088.1953125,0.842158701317475
starling,0.01,0.8,0.1,0.9,0.2,0.9,105279.37109375,0.8329104101293576
starling,0.01,0.8,0.2,0.7,0.1,0.7,109775.365234375,0.8112196595094071
starling,0.01,0.8,0.2,0.7,0.1,0.8,109995.025390625,0.8027673423826542
